Tamanho	Clocks
100	94
200	348
300	795
400	1440
500	2053
600	3300
700	8088
800	6883
900	9206
1000	10277
1100	11695
1200	14278
1300	16804
1400	20055
1500	23463
1600	27409
1700	32128
1800	36903
1900	41926
2000	48077
2100	54422
2200	58471
2300	65111
2400	73279
2500	80308
2600	86353
2700	93810
2800	101563
2900	112255
3000	125569
3100	128313
3200	141161
3300	148015
3400	152684
3500	163643
3600	174208
3700	181735
3800	194538
3900	206862
4000	216045
4100	227953
4200	241106
4300	254055
4400	265254
4500	279690
4600	293416
4700	306653
4800	324674
4900	337161
5000	349034
5100	366307
5200	379579
5300	400374
5400	414386
5500	433291
5600	451208
5700	471036
5800	486714
5900	505436
6000	523891
6100	547155
6200	565888
6300	589318
6400	613273
6500	642372
6600	663858
6700	687232
6800	706795
6900	739311
7000	760250
7100	785225
7200	820827
7300	842235
7400	866941
7500	904569
7600	937996
7700	955642
7800	1063518
7900	1499985
8000	1059320
8100	1090652
8200	1317898
8300	1288866
8400	1232078
8500	1249973
8600	1344124
8700	1363224
8800	1406502
8900	1490375
9000	1577287
9100	1694545
9200	1709166
9300	1829421
9400	1891162
9500	1806572
9600	1822562
9700	1917564
9800	2153632
9900	2140455
10000	2247431
