Tamanho	Clocks
100	53
200	170
300	389
400	733
500	1065
600	1458
700	1995
800	2507
900	3194
1000	4234
1100	5175
1200	5653
1300	7783
1400	8390
1500	10174
1600	10302
1700	12482
1800	13506
1900	14701
2000	16653
2100	18312
2200	20641
2300	22087
2400	22775
2500	24261
2600	26087
2700	28034
2800	30668
2900	32678
3000	35106
3100	37388
3200	39541
3300	41858
3400	46700
3500	48260
3600	50044
3700	52580
3800	55590
3900	58187
4000	61437
4100	64887
4200	68073
4300	73260
4400	74115
4500	77538
4600	81102
4700	104954
4800	93433
4900	94768
5000	96222
5100	100934
5200	103887
5300	106997
5400	113779
5500	115469
5600	119604
5700	133628
5800	143107
5900	134367
6000	137763
6100	145302
6200	160233
6300	153701
6400	161971
6500	163659
6600	170504
6700	172248
6800	177594
6900	180913
7000	190865
7100	217610
7200	282743
7300	228293
7400	226952
7500	231848
7600	234070
7700	304708
7800	255663
7900	295905
8000	281656
8100	277034
8200	271207
8300	308866
8400	347719
8500	307036
8600	309710
8700	287798
8800	299642
8900	304264
9000	312565
9100	321898
9200	322814
9300	330937
9400	338448
9500	346811
9600	354949
9700	359552
9800	367410
9900	372355
10000	383660
